[run number];number-of-nodes;initial-outbreak-size;number-of-wd;recovery-chance;[step];count turtles;clustering-coefficient;average-path-length;count turtles with [not spreaders? and not cencored?];count turtles with [spreaders?];count turtles with [cencored?];count turtles with [untouched?]
2;250;1;10;8;0;250;0.3868808567603747;6.87344578313253;239;1;10;239
2;250;1;10;8;1;250;0.3868808567603747;6.87344578313253;239;1;10;239
2;250;1;10;8;2;250;0.3868808567603747;6.87344578313253;237;3;10;236
2;250;1;10;8;3;250;0.3868808567603747;6.87344578313253;218;22;10;216
2;250;1;10;8;4;250;0.3868808567603747;6.87344578313253;182;47;21;177
2;250;1;10;8;5;250;0.3868808567603747;6.87344578313253;153;50;47;150
2;250;1;10;8;6;250;0.3868808567603747;6.87344578313253;126;59;65;114
2;250;1;10;8;7;250;0.3868808567603747;6.87344578313253;103;47;100;90
2;250;1;10;8;8;250;0.3868808567603747;6.87344578313253;74;40;136;61
2;250;1;10;8;9;250;0.3868808567603747;6.87344578313253;63;19;168;50
2;250;1;10;8;10;250;0.3868808567603747;6.87344578313253;55;12;183;44
2;250;1;10;8;11;250;0.3868808567603747;6.87344578313253;54;8;188;41
2;250;1;10;8;12;250;0.3868808567603747;6.87344578313253;54;6;190;41
2;250;1;10;8;13;250;0.3868808567603747;6.87344578313253;53;4;193;40
2;250;1;10;8;14;250;0.3868808567603747;6.87344578313253;53;2;195;39
2;250;1;10;8;15;250;0.3868808567603747;6.87344578313253;50;2;198;38
2;250;1;10;8;16;250;0.3868808567603747;6.87344578313253;49;2;199;37
2;250;1;10;8;17;250;0.3868808567603747;6.87344578313253;48;1;201;36
2;250;1;10;8;18;250;0.3868808567603747;6.87344578313253;48;0;202;36
3;250;1;10;8;0;250;0.3935809523809523;6.600353413654618;239;1;10;239
3;250;1;10;8;1;250;0.3935809523809523;6.600353413654618;234;6;10;234
3;250;1;10;8;2;250;0.3935809523809523;6.600353413654618;230;10;10;229
3;250;1;10;8;3;250;0.3935809523809523;6.600353413654618;215;22;13;213
3;250;1;10;8;4;250;0.3935809523809523;6.600353413654618;212;21;17;210
3;250;1;10;8;5;250;0.3935809523809523;6.600353413654618;195;37;18;190
3;250;1;10;8;6;250;0.3935809523809523;6.600353413654618;179;50;21;173
3;250;1;10;8;7;250;0.3935809523809523;6.600353413654618;167;56;27;158
3;250;1;10;8;8;250;0.3935809523809523;6.600353413654618;151;45;54;144
3;250;1;10;8;9;250;0.3935809523809523;6.600353413654618;133;38;79;125
3;250;1;10;8;10;250;0.3935809523809523;6.600353413654618;128;32;90;122
3;250;1;10;8;11;250;0.3935809523809523;6.600353413654618;127;22;101;122
3;250;1;10;8;12;250;0.3935809523809523;6.600353413654618;115;22;113;108
